127.0.0.1 - - [15/Jun/2024:14:27:47 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:41:38 +0700] "GET /new-jdbc/admin-home HTTP/1.1" 200 6302
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:41:39 +0700] "GET /new-jdbc/admin-home HTTP/1.1" 200 6302
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:42:53 +0700] "GET /new-jdbc/template/admin/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:42:53 +0700] "GET /new-jdbc/template/admin/assets/font-awesome/4.5.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:42:53 +0700] "GET /new-jdbc/template/admin/assets/css/ace.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:42:53 +0700] "GET /new-jdbc/template/admin/assets/css/ace-rtl.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:42:53 +0700] "GET /new-jdbc/template/admin/assets/css/fonts.googleapis.com.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:42:53 +0700] "GET /new-jdbc/template/admin/assets/css/ace-skins.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:42:53 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.min.map HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:44:25 +0700] "GET /new-jdbc/admin-home HTTP/1.1" 200 6320
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:44:25 +0700] "GET /new-jdbc/template/admin/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:44:25 +0700] "GET /new-jdbc/template/admin/assets/font-awesome/4.5.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:44:25 +0700] "GET /new-jdbc/template/admin/assets/css/fonts.googleapis.com.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:44:25 +0700] "GET /new-jdbc/template/admin/assets/css/ace.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:44:25 +0700] "GET /new-jdbc/template/admin/assets/css/ace-rtl.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:44:25 +0700] "GET /new-jdbc/template/admin/assets/css/ace-skins.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:44:25 +0700] "GET /new-jdbc/template/admin/assets/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:44:25 +0700] "GET /new-jdbc/template/admin/assets/js/jquery-ui.custom.min.js HTTP/1.1" 304 -
